SEGID,SURVEY,QNAME,FIPS
T140G13121000500,ACS2010_5yr,"Census Tract 5, Fulton County, Georgia","13121000500"
T140G13121000400,ACS2010_5yr,"Census Tract 4, Fulton County, Georgia","13121000400"
T140G13121008902,ACS2010_5yr,"Census Tract 89.02, Fulton County, Georgia","13121008902"
T140G13121008700,ACS2010_5yr,"Census Tract 87, Fulton County, Georgia","13121008700"
T140G13121008602,ACS2010_5yr,"Census Tract 86.02, Fulton County, Georgia","13121008602"
T140G13121001100,ACS2010_5yr,"Census Tract 11, Fulton County, Georgia","13121001100"
T140G13121001001,ACS2010_5yr,"Census Tract 10.01, Fulton County, Georgia","13121001001"
T140G13121001202,ACS2010_5yr,"Census Tract 12.02, Fulton County, Georgia","13121001202"
T140G13121001201,ACS2010_5yr,"Census Tract 12.01, Fulton County, Georgia","13121001201"
T140G13121001800,ACS2010_5yr,"Census Tract 18, Fulton County, Georgia","13121001800"
T140G13121001900,ACS2010_5yr,"Census Tract 19, Fulton County, Georgia","13121001900"
T140G13121001002,ACS2010_5yr,"Census Tract 10.02, Fulton County, Georgia","13121001002"
T140G13121000600,ACS2010_5yr,"Census Tract 6, Fulton County, Georgia","13121000600"
T140G13121002100,ACS2010_5yr,"Census Tract 21, Fulton County, Georgia","13121002100"
T140G13121011800,ACS2010_5yr,"Census Tract 118, Fulton County, Georgia","13121011800"
T140G13121002800,ACS2010_5yr,"Census Tract 28, Fulton County, Georgia","13121002800"
T140G13121003500,ACS2010_5yr,"Census Tract 35, Fulton County, Georgia","13121003500"
T140G13121011900,ACS2010_5yr,"Census Tract 119, Fulton County, Georgia","13121011900"
T140G13121004900,ACS2010_5yr,"Census Tract 49, Fulton County, Georgia","13121004900"
T140G13121004800,ACS2010_5yr,"Census Tract 48, Fulton County, Georgia","13121004800"
T140G13121002600,ACS2010_5yr,"Census Tract 26, Fulton County, Georgia","13121002600"
T140G13121003600,ACS2010_5yr,"Census Tract 36, Fulton County, Georgia","13121003600"
T140G13121002500,ACS2010_5yr,"Census Tract 25, Fulton County, Georgia","13121002500"
