SEGID,SURVEY,QNAME,FIPS
T140G13067030335,ACS2010_5yr,"Census Tract 303.35, Cobb County, Georgia","13067030335"
T140G13067030336,ACS2010_5yr,"Census Tract 303.36, Cobb County, Georgia","13067030336"
T140G13067030337,ACS2010_5yr,"Census Tract 303.37, Cobb County, Georgia","13067030337"
T140G13067030331,ACS2010_5yr,"Census Tract 303.31, Cobb County, Georgia","13067030331"
T140G13067030332,ACS2010_5yr,"Census Tract 303.32, Cobb County, Georgia","13067030332"
T140G13067030329,ACS2010_5yr,"Census Tract 303.29, Cobb County, Georgia","13067030329"
T140G13067030330,ACS2010_5yr,"Census Tract 303.30, Cobb County, Georgia","13067030330"
T140G13067030504,ACS2010_5yr,"Census Tract 305.04, Cobb County, Georgia","13067030504"
T140G13067030507,ACS2010_5yr,"Census Tract 305.07, Cobb County, Georgia","13067030507"
T140G13067030506,ACS2010_5yr,"Census Tract 305.06, Cobb County, Georgia","13067030506"
T140G13067030502,ACS2010_5yr,"Census Tract 305.02, Cobb County, Georgia","13067030502"
T140G13121010210,ACS2010_5yr,"Census Tract 102.10, Fulton County, Georgia","13121010210"
T140G13067030319,ACS2010_5yr,"Census Tract 303.19, Cobb County, Georgia","13067030319"
T140G13067030334,ACS2010_5yr,"Census Tract 303.34, Cobb County, Georgia","13067030334"
T140G13067030333,ACS2010_5yr,"Census Tract 303.33, Cobb County, Georgia","13067030333"
T140G13067030318,ACS2010_5yr,"Census Tract 303.18, Cobb County, Georgia","13067030318"
T140G13121010205,ACS2010_5yr,"Census Tract 102.05, Fulton County, Georgia","13121010205"
T140G13121010212,ACS2010_5yr,"Census Tract 102.12, Fulton County, Georgia","13121010212"
T140G13121010211,ACS2010_5yr,"Census Tract 102.11, Fulton County, Georgia","13121010211"
T140G13121010204,ACS2010_5yr,"Census Tract 102.04, Fulton County, Georgia","13121010204"
T140G13067030320,ACS2010_5yr,"Census Tract 303.20, Cobb County, Georgia","13067030320"
T140G13121010206,ACS2010_5yr,"Census Tract 102.06, Fulton County, Georgia","13121010206"
T140G13067030339,ACS2010_5yr,"Census Tract 303.39, Cobb County, Georgia","13067030339"
T140G13067030409,ACS2010_5yr,"Census Tract 304.09, Cobb County, Georgia","13067030409"
T140G13067030505,ACS2010_5yr,"Census Tract 305.05, Cobb County, Georgia","13067030505"
T140G13067030410,ACS2010_5yr,"Census Tract 304.10, Cobb County, Georgia","13067030410"
T140G13067030408,ACS2010_5yr,"Census Tract 304.08, Cobb County, Georgia","13067030408"
T140G13067030407,ACS2010_5yr,"Census Tract 304.07, Cobb County, Georgia","13067030407"
T140G13067030405,ACS2010_5yr,"Census Tract 304.05, Cobb County, Georgia","13067030405"
T140G13067030412,ACS2010_5yr,"Census Tract 304.12, Cobb County, Georgia","13067030412"
T140G13067030411,ACS2010_5yr,"Census Tract 304.11, Cobb County, Georgia","13067030411"
T140G13067030700,ACS2010_5yr,"Census Tract 307, Cobb County, Georgia","13067030700"
T140G13067030800,ACS2010_5yr,"Census Tract 308, Cobb County, Georgia","13067030800"
T140G13067030902,ACS2010_5yr,"Census Tract 309.02, Cobb County, Georgia","13067030902"
T140G13067030413,ACS2010_5yr,"Census Tract 304.13, Cobb County, Georgia","13067030413"
T140G13067030344,ACS2010_5yr,"Census Tract 303.44, Cobb County, Georgia","13067030344"
T140G13067030414,ACS2010_5yr,"Census Tract 304.14, Cobb County, Georgia","13067030414"
T140G13067031113,ACS2010_5yr,"Census Tract 311.13, Cobb County, Georgia","13067031113"
T140G13067030345,ACS2010_5yr,"Census Tract 303.45, Cobb County, Georgia","13067030345"
T140G13067031114,ACS2010_5yr,"Census Tract 311.14, Cobb County, Georgia","13067031114"
T140G13067031111,ACS2010_5yr,"Census Tract 311.11, Cobb County, Georgia","13067031111"
T140G13067031108,ACS2010_5yr,"Census Tract 311.08, Cobb County, Georgia","13067031108"
T140G13067031001,ACS2010_5yr,"Census Tract 310.01, Cobb County, Georgia","13067031001"
T140G13067031101,ACS2010_5yr,"Census Tract 311.01, Cobb County, Georgia","13067031101"
T140G13067031116,ACS2010_5yr,"Census Tract 311.16, Cobb County, Georgia","13067031116"
T140G13067031004,ACS2010_5yr,"Census Tract 310.04, Cobb County, Georgia","13067031004"
T140G13121009900,ACS2010_5yr,"Census Tract 99, Fulton County, Georgia","13121009900"
T140G13121009601,ACS2010_5yr,"Census Tract 96.01, Fulton County, Georgia","13121009601"
T140G13121009603,ACS2010_5yr,"Census Tract 96.03, Fulton County, Georgia","13121009603"
T140G13121009502,ACS2010_5yr,"Census Tract 95.02, Fulton County, Georgia","13121009502"
T140G13121009802,ACS2010_5yr,"Census Tract 98.02, Fulton County, Georgia","13121009802"
T140G13121009801,ACS2010_5yr,"Census Tract 98.01, Fulton County, Georgia","13121009801"
T140G13121009700,ACS2010_5yr,"Census Tract 97, Fulton County, Georgia","13121009700"
T140G13121009300,ACS2010_5yr,"Census Tract 93, Fulton County, Georgia","13121009300"
T140G13121009102,ACS2010_5yr,"Census Tract 91.02, Fulton County, Georgia","13121009102"
T140G13121009501,ACS2010_5yr,"Census Tract 95.01, Fulton County, Georgia","13121009501"
T140G13121009101,ACS2010_5yr,"Census Tract 91.01, Fulton County, Georgia","13121009101"
T140G13121009000,ACS2010_5yr,"Census Tract 90, Fulton County, Georgia","13121009000"
T140G13121000500,ACS2010_5yr,"Census Tract 5, Fulton County, Georgia","13121000500"
T140G13121000400,ACS2010_5yr,"Census Tract 4, Fulton County, Georgia","13121000400"
T140G13121008904,ACS2010_5yr,"Census Tract 89.04, Fulton County, Georgia","13121008904"
T140G13121008800,ACS2010_5yr,"Census Tract 88, Fulton County, Georgia","13121008800"
T140G13121008903,ACS2010_5yr,"Census Tract 89.03, Fulton County, Georgia","13121008903"
T140G13121008902,ACS2010_5yr,"Census Tract 89.02, Fulton County, Georgia","13121008902"
T140G13121008700,ACS2010_5yr,"Census Tract 87, Fulton County, Georgia","13121008700"
T140G13067031207,ACS2010_5yr,"Census Tract 312.07, Cobb County, Georgia","13067031207"
T140G13067031208,ACS2010_5yr,"Census Tract 312.08, Cobb County, Georgia","13067031208"
T140G13067031211,ACS2010_5yr,"Census Tract 312.11, Cobb County, Georgia","13067031211"
T140G13067031112,ACS2010_5yr,"Census Tract 311.12, Cobb County, Georgia","13067031112"
T140G13067031212,ACS2010_5yr,"Census Tract 312.12, Cobb County, Georgia","13067031212"
T140G13067031206,ACS2010_5yr,"Census Tract 312.06, Cobb County, Georgia","13067031206"
T140G13067031209,ACS2010_5yr,"Census Tract 312.09, Cobb County, Georgia","13067031209"
T140G13067031118,ACS2010_5yr,"Census Tract 311.18, Cobb County, Georgia","13067031118"
T140G13067031110,ACS2010_5yr,"Census Tract 311.10, Cobb County, Georgia","13067031110"
T140G13067031115,ACS2010_5yr,"Census Tract 311.15, Cobb County, Georgia","13067031115"
T140G13067031117,ACS2010_5yr,"Census Tract 311.17, Cobb County, Georgia","13067031117"
T140G13121008602,ACS2010_5yr,"Census Tract 86.02, Fulton County, Georgia","13121008602"
T140G13067031205,ACS2010_5yr,"Census Tract 312.05, Cobb County, Georgia","13067031205"
T140G13067031313,ACS2010_5yr,"Census Tract 313.13, Cobb County, Georgia","13067031313"
T140G13067031312,ACS2010_5yr,"Census Tract 313.12, Cobb County, Georgia","13067031312"
T140G13121001100,ACS2010_5yr,"Census Tract 11, Fulton County, Georgia","13121001100"
T140G13121001001,ACS2010_5yr,"Census Tract 10.01, Fulton County, Georgia","13121001001"
T140G13121001202,ACS2010_5yr,"Census Tract 12.02, Fulton County, Georgia","13121001202"
T140G13121001201,ACS2010_5yr,"Census Tract 12.01, Fulton County, Georgia","13121001201"
T140G13121001800,ACS2010_5yr,"Census Tract 18, Fulton County, Georgia","13121001800"
T140G13121001900,ACS2010_5yr,"Census Tract 19, Fulton County, Georgia","13121001900"
T140G13121001002,ACS2010_5yr,"Census Tract 10.02, Fulton County, Georgia","13121001002"
T140G13121000600,ACS2010_5yr,"Census Tract 6, Fulton County, Georgia","13121000600"
T140G13121002100,ACS2010_5yr,"Census Tract 21, Fulton County, Georgia","13121002100"
T140G13121011800,ACS2010_5yr,"Census Tract 118, Fulton County, Georgia","13121011800"
T140G13121002800,ACS2010_5yr,"Census Tract 28, Fulton County, Georgia","13121002800"
T140G13121003500,ACS2010_5yr,"Census Tract 35, Fulton County, Georgia","13121003500"
T140G13121011900,ACS2010_5yr,"Census Tract 119, Fulton County, Georgia","13121011900"
T140G13121004900,ACS2010_5yr,"Census Tract 49, Fulton County, Georgia","13121004900"
T140G13121004800,ACS2010_5yr,"Census Tract 48, Fulton County, Georgia","13121004800"
T140G13121002600,ACS2010_5yr,"Census Tract 26, Fulton County, Georgia","13121002600"
T140G13121003600,ACS2010_5yr,"Census Tract 36, Fulton County, Georgia","13121003600"
T140G13121002500,ACS2010_5yr,"Census Tract 25, Fulton County, Georgia","13121002500"
T140G13121003800,ACS2010_5yr,"Census Tract 38, Fulton County, Georgia","13121003800"
T140G13121004400,ACS2010_5yr,"Census Tract 44, Fulton County, Georgia","13121004400"
T140G13121004300,ACS2010_5yr,"Census Tract 43, Fulton County, Georgia","13121004300"
T140G13121003700,ACS2010_5yr,"Census Tract 37, Fulton County, Georgia","13121003700"
T140G13121000700,ACS2010_5yr,"Census Tract 7, Fulton County, Georgia","13121000700"
T140G13121002300,ACS2010_5yr,"Census Tract 23, Fulton County, Georgia","13121002300"
T140G13121008400,ACS2010_5yr,"Census Tract 84, Fulton County, Georgia","13121008400"
T140G13121008301,ACS2010_5yr,"Census Tract 83.01, Fulton County, Georgia","13121008301"
T140G13121008500,ACS2010_5yr,"Census Tract 85, Fulton County, Georgia","13121008500"
T140G13121002400,ACS2010_5yr,"Census Tract 24, Fulton County, Georgia","13121002400"
T140G13121003900,ACS2010_5yr,"Census Tract 39, Fulton County, Georgia","13121003900"
T140G13121004000,ACS2010_5yr,"Census Tract 40, Fulton County, Georgia","13121004000"
T140G13121004200,ACS2010_5yr,"Census Tract 42, Fulton County, Georgia","13121004200"
T140G13121004100,ACS2010_5yr,"Census Tract 41, Fulton County, Georgia","13121004100"
T140G13121006000,ACS2010_5yr,"Census Tract 60, Fulton County, Georgia","13121006000"
T140G13121008302,ACS2010_5yr,"Census Tract 83.02, Fulton County, Georgia","13121008302"
T140G13121005501,ACS2010_5yr,"Census Tract 55.01, Fulton County, Georgia","13121005501"
T140G13121005502,ACS2010_5yr,"Census Tract 55.02, Fulton County, Georgia","13121005502"
T140G13121005700,ACS2010_5yr,"Census Tract 57, Fulton County, Georgia","13121005700"
T140G13121012000,ACS2010_5yr,"Census Tract 120, Fulton County, Georgia","13121012000"
T140G13121005800,ACS2010_5yr,"Census Tract 58, Fulton County, Georgia","13121005800"
T140G13121006300,ACS2010_5yr,"Census Tract 63, Fulton County, Georgia","13121006300"
T140G13121006700,ACS2010_5yr,"Census Tract 67, Fulton County, Georgia","13121006700"
T140G13121007001,ACS2010_5yr,"Census Tract 70.01, Fulton County, Georgia","13121007001"
T140G13121006500,ACS2010_5yr,"Census Tract 65, Fulton County, Georgia","13121006500"
T140G13121007500,ACS2010_5yr,"Census Tract 75, Fulton County, Georgia","13121007500"
T140G13121006200,ACS2010_5yr,"Census Tract 62, Fulton County, Georgia","13121006200"
T140G13121006100,ACS2010_5yr,"Census Tract 61, Fulton County, Georgia","13121006100"
T140G13121006602,ACS2010_5yr,"Census Tract 66.02, Fulton County, Georgia","13121006602"
T140G13121008000,ACS2010_5yr,"Census Tract 80, Fulton County, Georgia","13121008000"
T140G13121008101,ACS2010_5yr,"Census Tract 81.01, Fulton County, Georgia","13121008101"
T140G13121006601,ACS2010_5yr,"Census Tract 66.01, Fulton County, Georgia","13121006601"
T140G13121007603,ACS2010_5yr,"Census Tract 76.03, Fulton County, Georgia","13121007603"
T140G13121007602,ACS2010_5yr,"Census Tract 76.02, Fulton County, Georgia","13121007602"
T140G13121011201,ACS2010_5yr,"Census Tract 112.01, Fulton County, Georgia","13121011201"
T140G13121008201,ACS2010_5yr,"Census Tract 82.01, Fulton County, Georgia","13121008201"
T140G13121008601,ACS2010_5yr,"Census Tract 86.01, Fulton County, Georgia","13121008601"
T140G13121007807,ACS2010_5yr,"Census Tract 78.07, Fulton County, Georgia","13121007807"
T140G13121008102,ACS2010_5yr,"Census Tract 81.02, Fulton County, Georgia","13121008102"
T140G13121007808,ACS2010_5yr,"Census Tract 78.08, Fulton County, Georgia","13121007808"
T140G13121008202,ACS2010_5yr,"Census Tract 82.02, Fulton County, Georgia","13121008202"
T140G13121007806,ACS2010_5yr,"Census Tract 78.06, Fulton County, Georgia","13121007806"
T140G13121007805,ACS2010_5yr,"Census Tract 78.05, Fulton County, Georgia","13121007805"
T140G13121007900,ACS2010_5yr,"Census Tract 79, Fulton County, Georgia","13121007900"
T140G13121007604,ACS2010_5yr,"Census Tract 76.04, Fulton County, Georgia","13121007604"
T140G13121007704,ACS2010_5yr,"Census Tract 77.04, Fulton County, Georgia","13121007704"
T140G13121007703,ACS2010_5yr,"Census Tract 77.03, Fulton County, Georgia","13121007703"
T140G13121007802,ACS2010_5yr,"Census Tract 78.02, Fulton County, Georgia","13121007802"
T140G13121007300,ACS2010_5yr,"Census Tract 73, Fulton County, Georgia","13121007300"
T140G13121007400,ACS2010_5yr,"Census Tract 74, Fulton County, Georgia","13121007400"
T140G13121010800,ACS2010_5yr,"Census Tract 108, Fulton County, Georgia","13121010800"
T140G13121011000,ACS2010_5yr,"Census Tract 110, Fulton County, Georgia","13121011000"
T140G13121011100,ACS2010_5yr,"Census Tract 111, Fulton County, Georgia","13121011100"
T140G13121011202,ACS2010_5yr,"Census Tract 112.02, Fulton County, Georgia","13121011202"
T140G13121980000,ACS2010_5yr,"Census Tract 9800, Fulton County, Georgia","13121980000"
